#timestamp	accel_x	accel_y	accel_z	accel_mag	temperature	mag_x	mag_y	mag_z	azimuth	pitch	roll
1276778267734	-2.2201166	-1.9477097	10.310603	0.918602	0.0	10.375	15.25	-24.8125	-2.721028	1.2918242	2.290928
1276778267784	-1.920469	-1.3756552	9.80665	0.28052044	0.0	11.125	10.9375	-25.8125	-2.8779244	1.3344088	2.1923864
1276778267824	-1.1168685	1.0760075	8.62168	-1.0465956	0.0	11.875	4.6875	-26.5625	-1.6149647	1.3928198	0.8040296
1276778267854	-1.3075534	2.8330324	8.240311	-0.99537945	0.0	11.875	-0.0625	-27.3125	-1.1383379	1.2088268	0.43240777
1276778267884	-2.6423476	3.636633	8.962189	0.2197113	0.0	11.625	-5.0625	-27.5625	-1.1880146	1.1058875	0.6283508
1276778267914	-2.4108016	4.140586	8.008764	-0.47408772	0.0	10.875	-9.0625	-28.0625	-1.0171573	1.0316608	0.52725595
1276778267954	-1.525479	4.7126403	6.6331096	-1.5281115	0.0	9.625	-11.3125	-27.8125	-0.7880929	0.92936736	0.31305513
1276778267994	-0.7627395	6.2108784	5.8567495	-1.2358685	0.0	8.625	-14.125	-27.5625	-0.6080979	0.75232625	0.12219518
1276778268034	-1.607201	4.8216033	8.308413	-0.06700611	0.0	7.375	-16.125	-26.0625	-2.2196298	1.0218043	0.32175052
1276778268074	-2.1111538	4.372132	6.701211	-1.5314617	0.0	6.625	-18.875	-24.8125	2.1725564	0.94380367	0.44984666
1276778268114	-0.95342433	1.5390993	6.973618	-2.6018467	0.0	6.875	-21.625	-23.5625	2.7955854	1.3167852	0.5546121
1276778268154	0.53119355	9.084772	4.0180025	0.14119339	0.0	6.625	-22.875	-22.5625	-0.60185724	0.41578358	-0.058404263
1276778268194	-1.56634	8.499097	5.053149	0.204463	0.0	6.125	-24.125	-22.0625	-0.24838878	0.52909696	0.18224989
1276778268234	-1.3075534	7.205164	5.243834	-0.79988194	0.0	5.125	-24.875	-21.5625	-0.21527007	0.6214447	0.17952077
1276778268274	-0.6537767	7.3958488	5.053149	-0.82554054	0.0	3.0625	-25.125	-21.0625	-0.2577968	0.59757817	0.08816861
1276778268314	-0.040861044	7.014479	5.6660647	-0.78950596	0.0	1.5625	-26.125	-20.3125	-1.9850117	0.67945063	0.005825177
1276778268354	0.23154591	7.43671	6.3607025	-0.018044472	0.0	6.0625	-27.125	-17.0	-2.1558564	0.7073302	-0.031125475
1276778268394	-0.29964766	8.308413	5.7477865	0.3006029	0.0	6.0625	-28.625	-15.75	-2.1704936	0.60489947	0.036049947
1276778268424	-1.2258313	6.2108784	1.879608	-3.2028184	0.0	6.5625	-30.625	-13.75	-0.11853466	0.28861403	0.19486392
1276778268464	-0.0	9.112013	3.255263	-0.13062191	0.0	7.0625	-33.625	-10.9375	-1.7131689	0.3431186	0.0
1276778268504	0.88532263	8.117727	1.5390993	-1.4970093	0.0	8.5625	-36.625	-7.6875	-1.4922273	0.18629421	-0.108631074
1276778268544	-0.9125633	9.084772	2.070293	-0.44438744	0.0	9.3125	-38.4375	-4.1875	-2.2719235	0.22297473	0.10011396
1276778268584	-0.61291564	9.302697	1.334794	-0.38871384	0.0	9.8125	-40.4375	-1.4375	-2.122228	0.14220777	0.06579071
1276778268624	0.14982383	10.923519	0.10896278	1.1184397	0.0	10.0625	-41.1875	0.8125	-1.6852744	0.009973794	-0.013714851
1276778268664	-1.525479	12.258313	0.53119355	2.5576324	0.0	9.8125	-41.1875	1.5625	-2.1976876	0.042975165	0.123807944
1276778268694	-3.1054392	11.032481	-2.4108016	1.9053679	0.0	9.3125	-41.4375	0.5625	0.2699689	-0.20732199	0.27438197
1276778268726	-4.2086873	8.281172	0.3405087	-0.5111246	0.0	8.0625	-40.1875	-1.4375	1.571671	0.03663966	0.47020486
1276778268764	-2.982856	5.706926	4.099725	-2.1728978	0.0	5.3125	-39.4375	-3.6875	2.4677656	0.56693894	0.48162106
1276778268804	1.4573772	8.19945	4.2495484	-0.45712662	0.0	2.0	-38.6875	-6.4375	-2.4883785	0.47183362	-0.17590384
1276778268844	2.6423476	5.47538	7.082581	-0.47258663	0.0	-1.0	-36.375	-8.4375	-2.4935594	0.8614512	-0.4496205
1276778268884	-0.38136974	6.782933	4.862464	-1.4521799	0.0	-3.75	-34.875	-10.1875	2.6934264	0.6212099	0.056165766
1276778268924	-1.879608	6.5513873	5.6252036	-0.9694271	0.0	-4.5	-33.625	-10.9375	2.2662275	0.6899975	0.27939767
1276778268964	0.38136974	7.273266	8.19945	1.160428	0.0	-3.75	-33.625	-9.6875	3.0365427	0.8445044	-0.05238648
1276778269004	-2.070293	9.915613	5.47538	1.7079182	0.0	-2.5	-35.375	-8.1875	2.3210974	0.49555233	0.20583418
1276778269044	-3.255263	8.921328	4.0180025	0.50505066	0.0	-0.0	-37.375	-6.1875	2.1280181	0.4002566	0.3498738
1276778269084	-2.9147544	6.5513873	4.903325	-1.1199322	0.0	1.5	-39.1875	-5.1875	2.4117033	0.5997817	0.41861007
1276778269124	-3.7864566	7.6273947	2.8330324	-0.8322153	0.0	2.25	-39.6875	-4.6875	1.9965982	0.3211712	0.46078637
1276778269164	-3.9771416	7.6954966	4.7126403	0.054754257	0.0	3.5	-40.6875	-2.9375	2.3526447	0.49824807	0.47700828
1276778269204	-4.399372	8.049625	4.2086873	0.28611946	0.0	5.0625	-40.9375	-1.4375	2.3392968	0.4301424	0.5001762
1276778269244	-4.4810944	9.615966	4.944186	1.897707	0.0	8.5625	-41.1875	0.3125	2.6402154	0.43611655	0.4360842
1276778269284	-4.1814466	8.349273	4.7943625	0.690053	0.0	11.3125	-41.6875	1.8125	2.7540221	0.47433773	0.46429992
1276778269324	-4.7126403	6.2108784	3.405087	-1.2990885	0.0	12.5625	-41.1875	1.3125	2.4330943	0.41178137	0.64909154
1276778269364	-6.238119	7.8861814	-0.53119355	0.26251793	0.0	12.5625	-41.1875	1.0625	1.5037452	-0.052778967	0.66924065
1276778269404	-4.8216033	8.158588	3.636633	0.34399128	0.0	11.8125	-41.1875	2.0625	2.570367	0.3664103	0.5337644
1276778269444	-3.8681788	9.343558	3.445948	0.876956	0.0	12.0625	-41.6875	3.0625	2.8634188	0.32841736	0.3925118
1276778269484	-2.6014864	9.697687	0.38136974	0.24115086	0.0	12.8125	-42.6875	5.3125	-2.9559252	0.037964664	0.2620879
1276778269524	-4.9850473	10.147159	0.19068487	1.5005102	0.0	13.8125	-43.9375	7.5625	2.444345	0.016864879	0.45664343
1276778269564	-4.903325	10.228881	1.1168685	1.5915956	0.0	14.0625	-45.1875	9.8125	2.6962094	0.09814348	0.44700038
1276778269604	-3.8681788	10.269742	2.152015	1.3764429	0.0	13.3125	-46.1875	12.625	2.9665267	0.1936426	0.36022332
1276778269644	-3.8273177	10.528529	1.6889231	1.5225487	0.0	12.8125	-46.6875	15.125	2.9669106	0.1496348	0.34866711
1276778269705	-5.012288	10.079058	1.7978859	1.592597	0.0	13.0625	-47.1875	17.875	2.7879314	0.15838103	0.4614831
1276778269744	-5.7886477	9.615966	1.7570249	1.5539122	0.0	13.8125	-47.4375	20.375	2.711236	0.15528333	0.5418763
1276778269784	-5.243834	7.246025	0.88532263	-0.81852055	0.0	15.625	-46.6875	22.875	2.648669	0.09865907	0.6264452
1276778269824	-2.2201166	3.336985	1.0351465	-5.667095	0.0	19.125	-45.6875	25.875	2.8945768	0.25274456	0.5870601
1276778269864	0.14982383	-0.8036005	0.53119355	-8.831772	0.0	22.625	-44.1875	28.375	1.4209127	0.5762484	-2.9572682
1276778269904	1.56634	-4.7943625	-2.1792557	-4.312245	0.0	25.6875	-42.9375	28.875	2.9044611	-0.40784475	-2.8258197
1276778269944	3.336985	-2.982856	-3.486809	-4.132962	0.0	27.1875	-42.4375	27.875	-2.8863995	-0.66182524	-2.3002186
1276778269984	1.8387469	9.656827	-0.50395286	0.036584854	0.0	25.1875	-42.9375	26.625	-2.2160723	-0.051220283	-0.18815668
1276778270014	-6.4015636	19.041246	8.008764	11.819477	0.0	20.375	-44.1875	26.625	-3.0195298	0.3793623	0.32432348
